index,month,day,TIME,TOTAL_FP_IDEX,clustering,score
566,4,5,4,-0.6313218735190228,12,1.0
380,3,8,3,-0.5972127270422999,12,1.0
1282,9,6,0,-0.591869612344562,12,1.0
381,3,8,4,-0.5642616148788139,12,1.0
729,5,4,2,-0.5572451298337582,12,1.0
1272,9,3,0,-0.5507163336555497,12,1.0
717,5,1,4,-0.5487526174931127,12,1.0
871,6,2,3,-0.5474314548561305,12,1.0
343,3,3,5,-0.5467674103084568,12,1.0
1419,10,1,0,-0.5466913644345414,12,1.0
730,5,4,3,-0.5328860001883384,12,1.0
365,3,6,2,-0.5315641396819026,12,1.0
30,1,7,0,-0.5284525668078345,12,1.0
413,3,12,5,-0.5277192700178289,12,1.0
867,6,1,4,-0.5263462482977292,12,1.0
16,1,4,2,-0.5259545972436728,12,1.0
372,3,7,2,-0.5256052449141995,12,1.0
333,3,2,2,-0.5251476106745788,12,1.0
341,3,3,2,-0.524596386785654,12,1.0
357,3,5,3,-0.5245402068907542,12,1.0
355,3,5,0,-0.5231473204320616,12,1.0
565,4,5,2,-0.5216862453109127,12,1.0
1629,11,15,2,-0.5196011789717944,12,1.0
367,3,6,4,-0.5178034789457404,12,1.0
872,6,2,4,-0.5166969691915813,12,1.0
477,3,22,5,-0.5160653455490655,12,1.0
350,3,4,4,-0.5150673912845344,12,1.0
589,4,9,5,-0.514118722493307,12,1.0
798,5,17,5,-0.5120652040134991,12,1.0
334,3,2,4,-0.5118117497366593,12,1.0
404,3,11,2,-0.5105359482997237,12,1.0
725,5,3,0,-0.5098221135318799,12,1.0
1265,9,1,0,-0.5092517586588485,12,1.0
870,6,2,2,-0.508262141144291,12,1.0
1624,11,14,0,-0.5078926024756497,12,1.0
797,5,17,3,-0.5062306609262649,12,1.0
757,5,10,6,-0.5048323733021377,12,1.0
1135,8,1,1,-0.5023933278681948,12,1.0
869,6,2,1,-0.5019879010255826,12,1.0
366,3,6,3,-0.49912761882670464,12,1.0
1137,8,1,3,-0.4979375626298172,12,1.0
1592,11,8,5,-0.49690753113746805,12,1.0
21,1,5,4,-0.49656154176600703,12,1.0
1371,9,20,0,-0.49575930561650394,12,1.0
731,5,4,5,-0.4956006889864333,12,1.0
20,1,5,3,-0.49543418228480207,12,1.0
423,3,13,4,-0.4944958592267084,12,1.0
15,1,4,0,-0.49351215533513243,12,1.0
525,3,29,4,-0.4924963209138123,12,1.0
379,3,8,2,-0.492043499745382,12,1.0
453,3,18,0,-0.4905071000604632,12,1.0
405,3,11,3,-0.49018560179998966,12,1.0
449,3,17,4,-0.4882223138413562,12,1.0
1552,11,2,0,-0.48799622233588774,12,1.0
9,1,3,3,-0.4871862346729714,12,1.0
386,3,9,0,-0.48718024344887223,12,1.0
1545,11,1,2,-0.48643277934539,12,1.0
419,3,13,0,-0.4855768807335713,12,1.0
639,4,19,4,-0.4847076374206963,12,1.0
638,4,19,3,-0.4843989230942829,12,1.0
736,5,5,5,-0.4841448024440228,12,1.0
447,3,17,0,-0.48389496946159183,0,2.0
728,5,4,0,-0.48330447733694626,0,2.0
739,5,6,5,-0.48308903349395893,0,2.0
444,3,16,0,-0.4827716793371269,0,2.0
866,6,1,3,-0.4823106716813008,0,2.0
543,4,2,4,-0.48189641928726673,0,2.0
537,4,1,4,-0.48078196968834486,0,2.0
633,4,18,4,-0.4806449469351827,0,2.0
583,4,8,4,-0.47903590805055657,0,2.0
382,3,8,5,-0.47890447526361035,0,2.0
550,4,3,2,-0.47824932013127053,0,2.0
1546,11,1,3,-0.4776297125263761,0,2.0
1283,9,6,2,-0.4771390032005197,0,2.0
395,3,10,5,-0.4767296632626293,0,2.0
10,1,3,4,-0.47665389734364966,0,2.0
422,3,13,3,-0.476370918173579,0,2.0
1639,11,17,4,-0.4746122864583916,0,2.0
805,5,18,2,-0.47438465525217816,0,2.0
777,5,14,4,-0.47377783014455765,0,2.0
1426,10,3,5,-0.47316461525862286,0,2.0
845,5,27,2,-0.47314277338953176,0,2.0
5,1,2,2,-0.473009427301189,0,2.0
388,3,9,2,-0.473004121045003,0,2.0
1724,12,1,3,-0.47284392842148687,0,2.0
358,3,5,4,-0.4726902292362207,0,2.0
6,1,2,3,-0.471951255159043,0,2.0
609,4,14,3,-0.4718524443708562,0,2.0
1334,9,13,5,-0.4709709167318393,0,2.0
1655,11,20,0,-0.4701927204365662,0,2.0
1455,10,11,4,-0.46979686729120523,0,2.0
719,5,2,1,-0.4695153657364572,0,2.0
342,3,3,3,-0.46945235266947577,0,2.0
1425,10,3,3,-0.46918413857992874,0,2.0
359,3,5,5,-0.468428488156677,0,2.0
1606,11,10,4,-0.46795689932296985,0,2.0
1598,11,9,0,-0.4676790989598384,0,2.0
1637,11,17,0,-0.4672363456450519,0,2.0
825,5,22,2,-0.46649701175499175,0,2.0
928,6,14,3,-0.4662181968816884,0,2.0
601,4,12,2,-0.4658009919363615,0,2.0
542,4,2,2,-0.46569862042152294,0,2.0
431,3,14,5,-0.46515902750227545,0,2.0
1473,10,16,3,-0.46455343130173554,0,2.0
421,3,13,2,-0.4641053531437106,0,2.0
208,2,7,4,-0.4636111666194376,0,2.0
1630,11,15,5,-0.46237680874566245,0,2.0
387,3,9,1,-0.462115912207299,0,2.0
1564,11,4,0,-0.4620507701423305,0,2.0
796,5,17,1,-0.4615101879686822,0,2.0
1772,12,8,0,-0.4613249499439612,0,2.0
763,5,12,2,-0.46125658017835774,0,2.0
1421,10,2,4,-0.4611707246843311,0,2.0
1325,9,12,3,-0.4611640888803629,0,2.0
1087,7,19,6,-0.4609372995959788,0,2.0
368,3,6,5,-0.46049087307857256,0,2.0
411,3,12,1,-0.46030575619695674,0,2.0
1452,10,10,5,-0.46023177047426783,0,2.0
582,4,8,3,-0.46002029350218593,0,2.0
511,3,27,5,-0.4598023385031613,0,2.0
335,3,2,5,-0.4594836540082896,0,2.0
250,2,15,5,-0.4592271975384578,0,2.0
544,4,2,5,-0.4587425371481797,0,2.0
403,3,11,0,-0.4583499187485687,0,2.0
588,4,9,4,-0.45357525604120796,0,2.0
430,3,14,3,-0.45344624171083964,0,2.0
1432,10,6,0,-0.452914061965122,0,2.0
1319,9,11,5,-0.4528836413063433,0,2.0
1757,12,6,5,-0.4528196613470689,0,2.0
880,6,4,0,-0.45218809060315385,0,2.0
476,3,22,4,-0.45169968038412195,0,2.0
1424,10,3,1,-0.450746827049253,0,2.0
1280,9,5,1,-0.450390259529816,0,2.0
755,5,10,3,-0.4499697320836039,0,2.0
1086,7,19,5,-0.44995389614973724,0,2.0
1762,12,7,0,-0.4491645565242023,0,2.0
420,3,13,1,-0.4491109298380836,0,2.0
691,4,26,3,-0.44792546652250204,0,2.0
349,3,4,1,-0.4477681221729978,0,2.0
412,3,12,3,-0.4476376725857589,0,2.0
1372,9,20,4,-0.44758330088826176,0,2.0
873,6,2,5,-0.44756341930410815,0,2.0
776,5,14,3,-0.4473557829414765,0,2.0
814,5,20,2,-0.44724508850531675,0,2.0
1118,7,26,5,-0.44708930112679995,0,2.0
536,4,1,1,-0.44660596991720214,0,2.0
640,4,19,5,-0.44580955934224037,0,2.0
1144,8,4,1,-0.4452073148548365,0,2.0
518,3,28,5,-0.44520330210296627,0,2.0
11,1,3,5,-0.4444848380565813,0,2.0
1662,11,21,0,-0.44417165029691774,0,2.0
626,4,17,4,-0.44321099441356226,0,2.0
746,5,8,4,-0.4425602890416443,0,2.0
1136,8,1,2,-0.4422525462167331,0,2.0
1150,8,5,5,-0.44202120619010093,0,2.0
498,3,25,2,-0.4419917354122736,0,2.0
1466,10,14,4,-0.44147203267762225,0,2.0
962,6,21,5,-0.4414621910663351,0,2.0
608,4,14,2,-0.44115453841454233,0,2.0
1266,9,1,5,-0.4411015920885838,0,2.0
424,3,13,5,-0.4409976864788134,0,2.0
356,3,5,1,-0.44098680267088786,0,2.0
759,5,11,2,-0.4407537023055932,0,2.0
1290,9,7,0,-0.44019214023252773,0,2.0
394,3,10,2,-0.43932622954858136,0,2.0
8,1,3,1,-0.4384090901710046,0,2.0
634,4,18,5,-0.43719121869454325,0,2.0
190,2,5,2,-0.43707113370579526,0,2.0
433,3,15,1,-0.43701762232062824,0,2.0
1780,12,9,2,-0.43692707282484816,0,2.0
790,5,16,3,-0.43650039642617267,0,2.0
1600,11,9,4,-0.43575623420382337,0,2.0
523,3,29,1,-0.435276141043093,0,2.0
594,4,10,5,-0.4351168494912514,0,2.0
1295,9,8,4,-0.43506379411321283,0,2.0
859,5,30,2,-0.434539852672818,0,2.0
1311,9,10,4,-0.43395917952925855,0,2.0
1352,9,17,0,-0.4338305120729882,0,2.0
1715,11,29,5,-0.433378626723465,0,2.0
1138,8,1,6,-0.43328933787775314,0,2.0
705,4,28,4,-0.433124133637031,0,2.0
620,4,16,0,-0.43267088726837216,0,2.0
830,5,23,0,-0.4324790769077506,0,2.0
448,3,17,2,-0.4322651367795794,0,2.0
434,3,15,5,-0.4317429147049895,0,2.0
1458,10,12,1,-0.43172545783851235,0,2.0
1559,11,3,5,-0.4315861927367389,0,2.0
200,2,6,5,-0.4310439601834886,0,2.0
772,5,13,0,-0.43101013883283457,0,2.0
1619,11,13,5,-0.4306865833600131,0,2.0
1756,12,6,4,-0.4305277247001004,0,2.0
836,5,25,3,-0.43020015122884947,0,2.0
576,4,7,0,-0.43013183909215413,0,2.0
475,3,22,1,-0.4299662487394053,0,2.0
558,4,4,2,-0.42977357417411693,0,2.0
1569,11,5,2,-0.4294230157720069,0,2.0
1212,8,20,4,-0.42933842828704655,0,2.0
551,4,3,5,-0.4285196791728967,14,3.0
824,5,22,0,-0.4279003495696456,14,3.0
882,6,4,4,-0.42780217144298543,14,3.0
509,3,27,3,-0.4272880850391925,14,3.0
1557,11,3,2,-0.42699337404769283,14,3.0
531,3,30,0,-0.42667408984810884,14,3.0
1605,11,10,3,-0.42648863549986993,14,3.0
502,3,26,0,-0.4262795623991983,14,3.0
587,4,9,3,-0.42626047187625465,14,3.0
586,4,9,2,-0.42605544294869935,14,3.0
748,5,9,4,-0.4252041538578114,14,3.0
1339,9,14,4,-0.42490611879061563,14,3.0
1142,8,3,3,-0.4245086151199995,14,3.0
1332,9,13,2,-0.4244193810370183,14,3.0
1178,8,12,0,-0.42405555034082276,14,3.0
690,4,26,2,-0.4235135015440653,14,3.0
1547,11,1,6,-0.42330398629242966,14,3.0
591,4,10,0,-0.4232636902478441,14,3.0
819,5,21,4,-0.42314806087152457,14,3.0
1570,11,5,3,-0.4225625483455099,14,3.0
1585,11,7,2,-0.42243597844537734,14,3.0
782,5,15,0,-0.422281576100643,14,3.0
467,3,20,2,-0.4221481493143911,14,3.0
1448,10,9,5,-0.4218376493641066,14,3.0
1453,10,10,6,-0.421485239186172,14,3.0
332,3,2,1,-0.4214008283932301,14,3.0
720,5,2,7,-0.42101627536602876,14,3.0
622,4,16,4,-0.4202337791241853,14,3.0
1704,11,28,0,-0.4199241328375443,14,3.0
454,3,18,4,-0.41976747465840325,14,3.0
789,5,16,2,-0.4197651979391393,14,3.0
221,2,10,5,-0.41970721505603914,14,3.0
1789,12,10,0,-0.41947029931153457,14,3.0
1281,9,5,3,-0.41920834267243917,14,3.0
1730,12,2,2,-0.41914956586204244,14,3.0
1745,12,4,5,-0.4189069213923204,14,3.0
1340,9,14,5,-0.41850358545686855,14,3.0
