month,day,TIME,TOTAL_FP_IDEX,DSP_CNT_IDEX,clustering,score
5,3,1,-0.6184977459146503,0.07352941176470588,16,1
10,1,5,-0.5976381178389321,0.053475935828877004,16,1
5,1,0,-0.5961320064623332,0.07874015748031496,16,1
5,2,3,-0.5837881415897384,0.07407407407407407,16,1
5,1,3,-0.5783849411700459,0.07246376811594203,16,1
3,4,2,-0.5764343339592226,0.09900990099009901,16,1
3,3,0,-0.57092855084982,0.10752688172043012,16,1
1,5,2,-0.5639110091878076,0.1639344262295082,16,1
5,24,5,-0.563373116160725,0.07352941176470588,16,1
11,1,0,-0.5577898361133862,0.13986013986013987,16,1
8,2,5,-0.5544421085382324,0.25477707006369427,13,3
5,2,0,-0.5538534006450541,0.07246376811594203,16,1
5,1,5,-0.5528797984294499,0.3546099290780142,7,7
6,7,4,-0.5499923287214514,0.07246376811594203,16,1
3,10,4,-0.5458830923831727,0.21739130434782608,13,3
5,5,0,-0.5443569602205853,0.19417475728155337,13,3
3,6,1,-0.5428608650990816,0.10869565217391304,16,1
10,2,1,-0.5425080660537877,0.1764705882352941,16,1
3,15,2,-0.5422500211953593,0.08928571428571427,16,1
5,4,4,-0.5418178666258272,0.09090909090909091,16,1
5,24,4,-0.5408673093823254,0.07692307692307693,16,1
4,5,3,-0.5383883432061741,0.25862068965517243,13,3
5,2,5,-0.5363188098707261,0.07407407407407407,16,1
3,4,5,-0.5357356503106546,0.2,13,3
5,1,2,-0.5341448346248775,0.06944444444444445,16,1
10,11,0,-0.5333808408884634,0.14184397163120566,16,1
3,2,3,-0.5333695261843262,0.10526315789473684,16,1
9,6,3,-0.5325404589778716,0.31746031746031744,7,7
5,2,2,-0.5321387246237673,0.07575757575757576,16,1
8,2,3,-0.5289027054730238,0.39215686274509803,7,7
3,1,2,-0.5280605816290411,0.09523809523809525,16,1
3,6,0,-0.5273013436282699,0.10752688172043012,16,1
9,12,0,-0.5268097652019224,0.1834862385321101,13,3
11,3,0,-0.5266497725897923,0.297029702970297,7,7
3,5,2,-0.5257068483975642,0.09900990099009901,16,1
1,3,2,-0.5242187244489943,0.09615384615384616,16,1
11,1,5,-0.5231428259755322,0.136986301369863,16,1
2,7,2,-0.5224248921776626,0.09615384615384616,16,1
4,5,5,-0.521764361536133,0.08620689655172414,16,1
11,1,4,-0.521083816259714,0.07246376811594203,16,1
3,7,4,-0.520978996965723,0.09433962264150943,16,1
1,6,4,-0.5204293175301241,0.10101010101010102,16,1
7,26,0,-0.5192136421225257,0.13245033112582782,16,1
10,2,0,-0.5186229109752859,0.06211180124223602,16,1
9,4,0,-0.5183948856183209,0.2912621359223301,7,7
9,5,0,-0.518344292161073,0.43478260869565216,7,7
8,2,0,-0.5160514577191678,0.06896551724137931,16,1
4,12,5,-0.5152569498866753,0.07936507936507936,16,1
1,6,1,-0.5149587812933669,0.1020408163265306,16,1
5,4,1,-0.5139868267145633,0.08849557522123894,16,1
8,4,0,-0.513933318534243,0.09803921568627451,16,1
